panitia_id;jabatan;mhs_id;nilai;komentar
21011010001;Ketua Acara;53318045;A;Performa sangat baik
21011020002;Wakil Ketua Acara;56118049;A;Selalu ikut rapat dan aktif
21011030003;Sekretaris Acara;52118141;B;Rajin rapat dan kalau telat konfirmasi
21011040004;Wakil Sekretaris Acara;52218042;A;Kontribusi banyak dan sangat baik
21011050005;Bendahara Acara;52218046;A;Performa sangat baik
21011060006;Wakil Bendahara Acara;56118048;B;Beberapa kali terlambat namun konfirmasi
21011070007;Ketua Divisi Acara;57218007;A;Mengerjakan tugas dengan sangat baik
21011070008;Ketua Divisi Artistik;57218010;B;"Sering datang kumpul, bagus"
21011070009;Ketua Divisi Dokumentasi;55418032;B;Selalu ikut rapat namun pasif
21011070010;Ketua Divisi Humas;51118013;B;"Rajin kumpul, hanya beberapa kali terlambat"
21011070011;Ketua Divisi Kreatif;57318023;C;Kontribusi tidak banyak
21011070012;Ketua Divisi Lapangan;54118048;A;Selalu datang dan mengerjakan tugasnya
21011070013;Ketua Divisi Logistik;56118074;A;Selalu kumpul dan tidak pernah terlambat
21011070014;Ketua Divisi Media;52118008;B;Kehadiran > 80%
21011070015;Ketua Divisi Medis;51218024;A;Selalu kumpul dan tidak pernah terlambat
21011070016;Ketua Divisi MSDM;55418023;A;Kontribusi banyak dan sangat baik
21011070017;Ketua Divisi Sponsor;57118019;A;Mengerjakan tugas dengan sangat baik
21011070018;Ketua Divisi Atletik;51218060;A;Selalu kumpul dan tidak pernah terlambat
21011070019;Ketua Divisi Badminton;53318042;B;Selalu ikut rapat namun pasif
21011070020;Ketua Divisi Basket;54118026;A;Selalu datang dan mengerjakan tugasnya
21011070021;Ketua Divisi Catur;58218039;A;Mengerjakan tugas dengan sangat baik
21011070022;Ketua Divisi Sepak Bola;52118060;B;Rajin rapat dan kalau telat konfirmasi
21011070023;Ketua Divisi Tenis;52118091;A;Selalu hadir rapat 100% dan fokus
21011070024;Ketua Divisi Voli;52118026;A;Selalu kumpul dan tidak pernah terlambat
21011080025;Wakil Ketua Divisi Acara;54118029;A;Kerja bagus dan sangat bisa dipercaya
21011080026;Wakil Ketua Divisi Artistik;57318026;A;Beberapa kali terlambat namun konfirmasi
21011080027;Wakil Ketua Divisi Dokumentasi;58118029;B;Mengerjakan tugas dengan baik
21011080028;Wakil Ketua Divisi Humas;58118035;B;Mengerjakan tugas dengan baik
21011080029;Wakil Ketua Divisi Kreatif;57218014;A;Kontribusi banyak dan sangat baik
